dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1665478129,1,121.497117,31.198147,0.000000,14.182328,0.000000,0.000000,0,1,40.124128
1665479276,1,121.490128,31.192663,0.000000,14.220636,0.588271,0.000000,0,1,15.541023
1665479507,1,121.487092,31.191783,0.000000,14.209030,0.000000,0.000000,0,1,16.181385
1665479533,1,121.486962,31.191858,0.000000,14.213458,0.000000,0.000000,0,1,18.569435
1665576676,1,121.509842,31.184503,0.000000,14.233491,0.000000,0.000000,0,1,6.788473
1665577392,1,121.506522,31.182470,0.000000,14.363868,0.000000,0.000000,0,1,6.819720
1665827081,1,121.891997,30.904478,0.000000,25.984888,0.172576,0.000000,0,1,5.035056
1665916611,1,121.891188,30.907100,0.000000,74.690471,0.000000,0.000000,0,1,3.939130
1665916831,1,121.891067,30.907045,0.000000,13.303874,0.041602,0.000000,0,1,4.371609
1665918069,1,121.891097,30.906880,0.000000,29.225484,0.092778,0.000000,0,1,4.787025
1666079299,1,121.891214,30.906941,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1666079634,1,121.891071,30.907179,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1666084475,1,121.891400,30.907230,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1666146456,1,121.887420,30.902812,0.000000,10.278028,0.279653,0.000000,0,1,4.640821
1666146843,1,121.885947,30.903997,0.000000,4.226937,0.000000,0.000000,0,1,6.252642
1666148072,1,121.889572,30.904217,0.000000,9.949014,0.189487,0.000000,0,1,3.521374
1666148446,1,121.891517,30.904150,0.000000,40.123125,0.059813,0.000000,0,1,6.165551
1666166506,1,121.889633,30.902192,0.000000,35.000000,0.000000,0.000000,0,1,6.585313
1666166648,1,121.889555,30.902462,0.000000,9.575981,0.000000,0.000000,0,1,3.361979
1666166922,1,121.887270,30.902862,0.000000,5.294710,0.000000,0.000000,0,1,5.224185
1666170687,1,121.885912,30.903738,0.000000,6.146111,0.000000,0.000000,0,1,6.608047
1666262115,1,121.889855,30.902712,0.000000,35.000000,0.000000,0.000000,0,1,5.791521
1666332110,1,121.889436,30.904272,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1666333144,1,121.889188,30.903375,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1666341655,1,121.888772,30.905213,0.000000,36.015969,0.062386,0.000000,0,1,4.691274
1666343453,1,121.888122,30.904353,0.000000,39.210146,0.000000,0.000000,0,1,5.810828
1666343902,1,121.887847,30.906122,0.000000,7.459245,1.636355,0.000000,0,1,5.370920
1666378306,1,121.889192,30.902662,0.000000,35.000000,0.000000,0.000000,0,1,5.837724
1666412141,1,121.885337,30.902829,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1666492821,1,121.886330,30.902833,0.000000,20.592485,0.012540,0.000000,0,1,6.985044
1666511525,1,121.890280,30.905937,0.000000,25.917953,0.358058,0.000000,0,1,4.182428
1666604038,1,121.890708,30.906320,0.000000,33.077641,0.053568,0.000000,0,1,4.468918
1666604042,1,121.890792,30.906253,0.000000,48.321379,0.029981,0.000000,0,1,4.526138
1666616264,1,121.890822,30.905705,0.000000,58.000000,0.000000,0.000000,0,1,6.071527
1666754931,1,121.890576,30.905476,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1667029194,1,121.890717,30.906000,0.000000,81.341741,0.000000,0.000000,0,1,5.690453
1667050628,1,121.890708,30.905400,0.000000,76.000000,0.000000,0.000000,0,1,6.069705
1667052523,1,121.890572,30.905347,0.000000,77.000000,0.000000,0.000000,0,1,6.371484
1667169479,1,121.890655,30.905742,0.000000,93.067189,0.294292,0.000000,0,1,12.993120
1667177550,1,121.301712,31.193587,0.000000,51.666700,0.191817,0.000000,0,1,14.370273
1667179840,1,121.297638,31.191033,0.000000,81.333333,0.000000,0.000000,0,1,19.210009
1667193470,1,121.295647,31.193055,0.000000,117.181952,0.000000,0.000000,0,1,7.157486
1667213047,1,121.303558,31.194145,0.000000,25.285617,0.188371,0.000000,0,1,23.495686
1667182184,1,121.297730,31.191412,0.000000,-1.000000,0.000000,0.000000,0,1,0.000000
1667256114,1,121.889930,30.905512,0.000000,73.820420,0.091298,0.000000,0,1,3.421508
1667262712,1,121.305205,31.191417,0.000000,200.000000,0.144345,0.000000,0,1,14.204388
1667264889,1,121.299920,31.188584,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1667265019,1,121.299811,31.188718,0.000000,0.000000,-1.000000,0.000000,0,1,0.000000
1667265996,1,121.299538,31.188975,0.000000,6.709561,0.001728,0.000000,0,1,3.916680
1667271309,1,121.299562,31.191267,0.000000,66.000000,0.000000,0.000000,0,1,8.389341
1667389936,1,121.890587,30.905603,0.000000,76.000000,0.000000,0.000000,0,1,5.856507
1667466469,1,121.296530,31.192763,0.000000,132.039547,0.000000,0.000000,0,1,6.561673
1667477469,1,121.890512,30.905278,0.000000,83.000000,0.000000,0.000000,0,1,16.244490
1667621830,1,121.298020,31.191025,0.000000,57.619067,0.000000,0.000000,0,1,12.728587
1667636473,1,121.298522,31.190692,0.000000,81.982247,0.000000,0.000000,0,1,7.615169
1667636612,1,121.298758,31.190758,0.000000,95.000000,0.000000,0.000000,0,1,10.074520
1667642042,1,121.297508,31.191022,0.000000,45.000000,0.000000,0.000000,0,1,12.143778
1667685665,1,121.890778,30.906433,0.000000,26.446281,0.007189,0.000000,0,1,4.301168
1667685724,1,121.890962,30.906412,0.000000,4.446310,0.000000,0.000000,0,1,4.483845
1667685813,1,121.890870,30.906512,0.000000,12.813802,0.146465,0.000000,0,1,4.648324
1667686953,1,121.814278,30.916600,0.000000,8.860731,5.522947,0.000000,0,1,4.437054
1667742962,1,121.890563,30.905613,0.000000,110.000000,0.000000,0.000000,0,1,6.255272
1667791309,1,121.299050,31.194497,0.000000,83.000000,0.000000,0.000000,0,1,6.159859
1667800101,1,121.296258,31.190962,0.000000,15.025266,0.030350,0.000000,0,1,3.611996
1667813255,1,121.298487,31.192183,0.000000,59.000000,0.000000,0.000000,0,1,8.878974
1667815129,1,121.296647,31.191212,0.000000,49.000000,0.000000,0.000000,0,1,11.879570
1667887494,1,121.296212,31.189550,0.000000,113.000000,0.000000,0.000000,0,1,9.951162
1667887508,1,121.296463,31.189328,0.000000,112.333333,0.000000,0.000000,0,1,10.089174
1667888289,1,121.295958,31.189238,0.000000,807.003841,0.000000,0.000000,0,1,10.518938
1667891090,1,121.295608,31.193103,0.000000,97.000000,0.000000,0.000000,0,1,5.796481
1667903676,1,121.300605,31.193225,0.000000,14.557516,0.050716,0.000000,0,1,6.574146
1668036705,1,121.746742,30.955928,0.000000,39.730030,6.780066,0.000000,0,1,5.578246
1668042109,1,121.300545,31.193163,0.000000,32.553073,0.167061,0.000000,0,1,16.603870
1668068491,1,121.299028,31.189762,0.000000,100.103334,0.023297,0.000000,0,1,7.469308
1668077549,1,121.305030,31.191837,0.000000,11.322869,0.007531,0.000000,0,1,2.055111
1668186555,1,121.890450,30.905372,0.000000,95.000000,0.000000,0.000000,0,1,6.204200
1668239611,1,121.885842,30.902178,0.000000,10.911541,0.000000,0.000000,0,1,5.335509
1668241500,1,121.885025,30.902017,0.000000,40.000000,0.000000,0.000000,0,1,5.922748
1668242675,1,121.886108,30.902137,0.000000,14.049478,0.002579,0.000000,0,1,6.086913
1668255542,1,121.888642,30.902888,0.000000,5.688526,0.000000,0.000000,0,1,3.924474
1668259710,1,121.887650,30.902728,0.000000,39.000000,0.000000,0.000000,0,1,7.664325
1668410257,1,121.885758,30.903495,0.000000,112.018582,0.000000,0.000000,0,1,6.534631
1668423243,1,121.889013,30.905322,0.000000,35.000000,0.000000,0.000000,0,1,7.732657
1668423328,1,121.889053,30.905322,0.000000,35.000000,0.000000,0.000000,0,1,7.279355
1668429502,1,121.888603,30.904655,0.000000,17.076705,0.054851,0.000000,0,1,3.499851
1668436749,1,121.889345,30.902595,0.000000,35.000000,0.000000,0.000000,0,1,4.059153
1668521991,1,121.889130,30.906063,0.000000,14.868468,0.043413,0.000000,0,1,4.251897
